Date,spy,baseline,optimized,spy_vami,baseline_vami,optimized_vami
6/19/19,0.002257182,0.008876307,-0.024747763,1082.592837,1165.10396,1286.658115
6/20/19,0.009554357,-0.001007577,0.003460843,1092.936316,1163.930028,1291.111037
6/21/19,-0.001447847,-0.011952388,0.000274938,1091.353912,1150.018285,1291.466012
6/24/19,-0.00122449,-0.009111933,-0.00375567,1090.01756,1139.539396,1286.615693
6/25/19,-0.009807928,-0.014176017,0.004012477,1079.326746,1123.385265,1291.778209
6/26/19,-0.000997386,0.003092293,0,1078.250241,1126.859102,1291.778209
6/27/19,0.003545977,0.003209637,-0.001790313,1082.073691,1130.475911,1289.465522
6/28/19,0.005145798,0.002919317,-0.004581754,1087.641824,1133.776128,1283.557508
7/1/19,0.009078498,0.003363485,0.005338581,1097.515978,1137.589567,1290.409883
7/2/19,0.002604343,0.002273422,-0.009326643,1100.374286,1140.175789,1278.37469
7/3/19,0.007995142,0.003205498,0.00420138,1109.171935,1143.830621,1283.745628
7/4/19,0,1.15797E-06,0.002215479,1109.171935,1143.831945,1286.589739
7/5/19,-0.001137885,0.000508687,-0.001007577,1107.909825,1144.413797,1285.2934
7/8/19,-0.005494874,-0.000149041,-0.012788195,1101.822,1144.243232,1268.856817
7/9/19,0.001246547,0.004324944,0.01755468,1103.195473,1149.19202,1291.131193
7/10/19,0.004778088,-0.001912913,-0.011582355,1108.466638,1146.993715,1276.176854
7/11/19,0.002344195,0.005645532,0.010644432,1111.0651,1153.469106,1289.761032
7/12/19,0.004476964,-0.007259294,-0.030837293,1116.039298,1145.095734,1249.988293
7/15/19,0.000332613,-9.85891E-05,9.37E-07,1116.410507,1144.98284,1249.989464
7/16/19,-0.003458022,-0.007720809,0.003288018,1112.549935,1136.142646,1254.099451
7/17/19,-0.006573021,-0.003602899,-0.005270894,1105.237121,1132.049239,1247.489226
7/18/19,0.003660912,0.003558031,0.0105759,1109.283298,1136.077105,1260.682548
7/19/19,-0.005554998,-0.004138563,-0.009499112,1103.121231,1131.375378,1248.707183
7/22/19,0.002456506,0.010644432,0.000101126,1105.831056,1143.418226,1248.833459
7/23/19,0.00715005,-0.001028805,-0.006974612,1113.737803,1142.241871,1240.12333
7/24/19,0.00469953,0.010756903,-0.029193575,1118.971848,1154.528856,1203.919697
7/25/19,-0.00477707,0.014803036,0.003588837,1113.626441,1171.619389,1208.240368
7/26/19,0.0067,0.010818578,0.007409064,1121.087738,1184.294644,1217.192298
7/29/19,-0.001821132,-0.023631704,0.018530946,1119.046089,1156.307743,1239.748023
7/30/19,-0.00245472,-0.004286068,-0.002967015,1116.299144,1151.35173,1236.069672
7/31/19,-0.01094041,-0.000853528,0.002029008,1104.086374,1150.369019,1238.577668
8/1/19,-0.008707931,0.011053115,0.011227235,1094.472066,1163.08418,1252.48347
8/2/19,-0.007529508,-0.011629806,0.006951922,1086.23123,1149.557736,1261.190638
8/5/19,-0.030073132,-0.015121677,0.007376654,1053.564855,1132.174495,1270.494004
8/6/19,0.014022972,0.002868941,0.012247931,1068.338965,1135.422637,1286.054927
8/7/19,0.000590688,-0.004852045,0.011820802,1068.97002,1129.913516,1301.257128
8/8/19,0.019620099,0.005042363,0.01094929,1089.943318,1135.61095,1315.504969
8/9/19,-0.006811525,0.008746796,-0.015442764,1082.519142,1145.543907,1295.189937
8/12/19,-0.012173376,-0.003745247,-0.023631704,1069.341229,1141.253562,1264.582392
8/13/19,0.015551776,0.005139399,-0.004510506,1085.971384,1147.118919,1258.878485
8/14/19,-0.029567595,-0.009471625,-0.000433049,1053.861822,1136.253839,1258.333329
8/15/19,0.002641775,0.002766478,0.002972422,1056.645888,1139.397261,1262.073627
8/16/19,0.014754962,0.007852073,2.64E-05,1072.236658,1148.343892,1262.106884
8/19/19,0.012047776,0.001854894,-0.00101213,1085.154725,1150.473948,1260.829468
8/20/19,-0.007662573,0.002902011,-0.008585338,1076.839647,1153.812635,1250.004821
8/21/19,0.008135406,0.004732446,-0.002662638,1085.600175,1159.272991,1246.676511
8/22/19,-0.000307745,-0.00637198,0.004584852,1085.266087,1151.886127,1252.392338
8/23/19,-0.025687509,-0.015738667,-0.005531229,1057.388305,1133.756975,1245.465069
8/26/19,0.011058452,0.008637013,0.005468897,1069.081383,1143.549248,1252.27639
8/27/19,-0.003923611,-0.000183068,-6.23E-05,1064.886723,1143.339902,1252.198424
8/28/19,0.007041517,-0.004727147,-0.014115594,1072.385141,1137.935166,1234.5229
8/29/19,0.012773028,0.00570598,-0.002599265,1086.082747,1144.428201,1231.314048
8/30/19,-0.000444323,-0.005652593,0.020982263,1085.600175,1137.959214,1257.149804
9/2/19,0,-0.000002236,-0.000874351,1085.600175,1137.95667,1256.050614
9/3/19,-0.005847153,-0.010091941,0.000508687,1079.252505,1126.472479,1256.68955
9/4/19,0.011350347,0.008993814,0,1091.502395,1136.603762,1256.68955
9/5/19,0.012855394,-0.005892195,-0.002825165,1105.534089,1129.906671,1253.139194
9/6/19,0.000772279,-0.006634473,0.007718887,1106.387869,1122.410336,1262.812034
9/9/19,0.000503271,-0.010940308,-0.0022768,1106.944682,1110.130821,1259.936864
9/10/19,-0.000234742,-0.008985601,-0.0022768,1106.684836,1100.155629,1257.068239
9/11/19,0.007110992,0.012776783,0.004913132,1114.554463,1114.212079,1263.244381
9/12/19,0.00346378,-0.004138597,-0.002201105,1118.415034,1109.600805,1260.463848
9/13/19,-0.000663812,-0.0022768,-0.002564444,1117.672617,1107.074465,1257.231459
9/16/19,-0.003088777,0.000131195,-0.002320846,1114.220375,1107.219709,1254.313619
9/17/19,0.002531983,0.00250917,0.006036337,1117.041562,1109.997911,1261.885079
9/18/19,0.000598166,-0.002825165,-0.012486428,1117.709738,1106.861984,1246.128641
9/19/19,-6.64231E-05,-0.002776238,-0.011919127,1117.635496,1103.789072,1231.275875
9/20/19,-0.004704334,-0.002149086,0.003836098,1112.377765,1101.416934,1235.99917
9/23/19,-0.000234679,-0.002360621,-0.000431501,1112.116713,1098.816906,1235.465835
9/24/19,-0.007846819,-0.018660863,-0.025027984,1103.390134,1078.312034,1204.544616
9/25/19,0.00591476,0.018603361,-0.000212066,1109.916422,1098.372263,1204.289173
9/26/19,-0.002083193,-0.019021138,0.002243377,1107.604251,1077.479972,1206.990849
9/27/19,-0.005387205,-0.018786024,-0.006966197,1101.63736,1057.238408,1198.582713
9/30/19,0.004637779,0.000942597,0.010730895,1106.746511,1058.234957,1211.444578
10/1/19,-0.011894733,-0.009910519,-0.004433216,1093.582056,1047.747299,1206.073983
10/2/19,-0.017664712,-0.020435562,0.00821182,1074.264245,1026.335994,1215.978045
10/3/19,0.008192738,0.021543291,0.008589858,1083.06541,1048.446649,1226.423123
10/4/19,0.013532126,0.001928691,0.017766913,1097.721587,1050.468779,1248.212876
10/7/19,-0.004314591,-0.006210097,0.005338581,1092.985367,1043.945266,1254.876561
10/8/19,-0.015524771,-0.025027984,0.005531241,1076.017019,1017.81742,1261.817586
10/9/19,0.009496413,0.013815356,0.02530787,1086.235321,1031.87893,1293.751502
10/10/19,0.006763484,-0.010740653,-0.019695305,1093.582056,1020.795877,1268.270671
10/11/19,0.010366935,0.00747751,0.000991924,1104.91915,1028.428888,1269.528699
10/14/19,-0.001113811,-0.005709666,-0.003169756,1103.688479,1022.556903,1265.504603
10/15/19,0.009900321,0.02530787,0.005042559,1114.615349,1048.43564,1271.885985
10/16/19,-0.001605996,-0.00702568,7.22E-05,1112.825282,1041.069667,1271.977835
10/17/19,0.002949062,0.001625443,-0.001763426,1116.107072,1042.761866,1269.734796
10/18/19,-0.004377172,-0.030837293,0.012247931,1111.221679,1010.605913,1285.28642
10/21/19,0.006779206,0.021819403,-0.000319026,1118.75488,1032.656731,1284.876381
10/22/19,-0.003266776,-0.020911953,-0.001209563,1115.100159,1011.061862,1283.322241
10/23/19,0.002909602,0.00026199,-0.007259294,1118.344656,1011.32675,1274.006228
10/24/19,0.001633987,0.02703048,-0.000548088,1120.172017,1038.663398,1273.30796
10/25/19,0.00409495,-0.025570334,0.004913132,1124.759065,1012.104428,1279.563891
10/28/19,0.005636605,0.014348823,-0.023025356,1131.098887,1026.626935,1250.101476
10/29/19,-0.000296736,-0.006802055,0.002029008,1130.763249,1019.643762,1252.637943
10/30/19,0.003067181,0.020017028,0.008820086,1134.231505,1040.054001,1263.686316
10/31/19,-0.002663247,-0.013241134,-0.002776238,1131.210766,1026.282506,1260.178023
11/1/19,0.009263838,0.012247931,-0.014591134,1141.69012,1038.852344,1241.790597
11/4/19,0.00401777,0.006951922,-0.001015789,1146.277168,1046.074364,1240.529199
11/5/19,-0.001106159,-0.00577622,0.008485093,1145.009203,1040.032009,1251.055205
11/6/19,0.000227991,-0.003574542,0.003205498,1145.270255,1036.31437,1255.065461
11/7/19,0.00351677,-0.008429156,0.000274938,1149.297906,1027.579115,1255.410526
11/8/19,0.002466091,0.022968571,-0.001790313,1152.13218,1051.181139,1253.162949
